 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -161.232567598654      K           2           0
 -0.876207386374269      K           2           1
   1.43681858569999      K          -2           1
 -0.722615031681702      K           2           2
  -1.13429013470036      K          -2           2
  -25.8640956154467      K           4           0
 -4.052720845563970E-003 K           4           1
 -6.131499456193294E-002 K          -4           1
  4.100761998184530E-002 K           4           2
  9.758378317040770E-002 K          -4           2
  -18.0644754460073      K           4           3
 -2.924142639555915E-002 K          -4           3
 -0.364698077425733      K           4           4
  0.560633332756898      K          -4           4
  0.591275730729082      K           6           0
 -0.215763247020193      K           6           1
  0.366352789993619      K          -6           1
 -3.471280588235375E-002 K           6           2
 -5.872933616533799E-002 K          -6           2
   9.77451019553431      K           6           3
 -2.068765761762151E-003 K          -6           3
 -2.801884531705492E-002 K           6           4
  4.693203097552109E-002 K          -6           4
  0.821017700130833      K           6           5
   1.39630012695151      K          -6           5
   68.2457310575572      K           6           6
 -9.077576611032639E-004 K          -6           6
 ATOMNUMBER =           8
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -161.228793909556      K           2           0
  0.838001077131525      K           2           1
  -1.45048230484850      K          -2           1
 -0.724073546091725      K           2           2
  -1.12631216048672      K          -2           2
  -25.8641638795074      K           4           0
  3.842259092648658E-003 K           4           1
  6.106818932464497E-002 K          -4           1
  3.986647177317040E-002 K           4           2
  9.838044395632227E-002 K          -4           2
   18.0652122377714      K           4           3
  2.926584795815831E-002 K          -4           3
 -0.365601275143070      K           4           4
  0.560240587611898      K          -4           4
  0.591281779108047      K           6           0
  0.215766843857731      K           6           1
 -0.366369915431169      K          -6           1
 -3.468540298593800E-002 K           6           2
 -5.875120368898783E-002 K          -6           2
  -9.77460492982753      K           6           3
  2.067680165743345E-003 K          -6           3
 -2.805206668721837E-002 K           6           4
  4.694942287407339E-002 K          -6           4
 -0.821025340956795      K           6           5
  -1.39637084562471      K          -6           5
   68.2457616870556      K           6           6
 -9.082975437836920E-004 K          -6           6
 ATOMNUMBER =           9
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000 K           0           0
  -142.050506890397      K           2           0
  2.973993293080861E-002 K           2           1
  7.256321367498765E-003 K          -2           1
 -0.403338362687792      K           2           2
   4.40479340892480      K          -2           2
  -45.7708501224400      K           4           0
  3.782319936767586E-004 K           4           1
  1.601690529811405E-004 K          -4           1
 -2.292925237674230E-002 K           4           2
  5.905679918812198E-002 K          -4           2
 -1.377286304174299E-003 K           4           3
  2.740575907241805E-005 K          -4           3
 -0.118774163150157      K           4           4
  0.118703431015204      K          -4           4
   8.16612163799014      K           6           0
 -4.119375085865291E-006 K           6           1
  2.939307600953617E-005 K          -6           1
 -0.290880116580688      K           6           2
  1.275085840078215E-002 K          -6           2
  7.909270884776058E-005 K           6           3
 -6.017287131720656E-007 K          -6           3
 -0.386908627747135      K           6           4
  3.662816597019999E-002 K          -6           4
  1.876666927551204E-005 K           6           5
  6.570130367607184E-005 K          -6           5
   197.691538814246      K           6           6
  9.167936991818657E-002 K          -6           6
