 ATOMNUMBER =           1
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -229.958696870359                2           0
  0.304275551973922                2           1
  0.665557888991989                2          -1
  -152.113718772245                2           2
  -15.3270444637247                2          -2
  -53.7209658992939                4           0
  8.378081594292140E-002           4           1
 -4.573554624345149E-002           4          -1
   188.476804834971                4           2
  0.982024069111582                4          -2
  1.861459773344763E-002           4           3
  1.308800211343487E-002           4          -3
  -94.2996710338692                4           4
 -0.153275099604968                4          -4
   5.86565075864201                6           0
  8.177905259371439E-004           6           1
 -1.477285754077109E-003           6          -1
   6.06646295218024                6           2
  0.248922338346570                6          -2
  1.085585385711003E-002           6           3
 -7.395198868215123E-003           6          -3
  -1.95962368319355                6           4
 -0.235104404232617                6          -4
  1.197891581541251E-002           6           5
  5.587833140936147E-002           6          -5
  -11.4312372039181                6           6
  3.716600556949248E-002           6          -6
 ATOMNUMBER =           2
 NUMBER OF LM          49
 Alm<r^l> (K)l   m   
  0.000000000000000E+000           0           0
  -114.842736253016                2           0
 -0.890558353882589                2           1
 -0.320980967125245                2          -1
  -40.1673444952582                2           2
  0.329810926039956                2          -2
  -20.7850600887737                4           0
  6.276453637312558E-002           4           1
 -9.323330643966926E-002           4          -1
   9.82099590804322                4           2
   1.32173604338081                4          -2
 -0.294172187295411                4           3
 -2.237283359043065E-002           4          -3
   4.86510453419167                4           4
  -1.23590002964231                4          -4
   5.69677627535301                6           0
 -6.409236841999176E-004           6           1
 -6.480995731034917E-004           6          -1
 -0.568244455469790                6           2
 -3.166503511832357E-002           6          -2
  5.080844388483525E-003           6           3
  2.545036961179042E-004           6          -3
   1.88211555676962                6           4
 -4.328813189847555E-002           6          -4
  1.677577349050825E-002           6           5
  1.239218274096571E-003           6          -5
  0.405311189612484                6           6
 -2.349015529275263E-002           6          -6
