  0.000000000000000E+000  7.020790963217931E-017 -0.209611388090573     
  0.100000000000000        1.14658217669063      -0.302281246075505     
  0.200000000000000        1.14658217669063      -0.394951104060438     
  0.300000000000000        1.14658217669063      -0.487620962045370     
  0.400000000000000        1.14658217669063      -0.580290820030303     
  0.500000000000000        1.14658217669063      -0.672960678015236     
  0.600000000000000        1.14658217669063      -0.765630536000168     
  0.700000000000000        1.14658217669063      -0.858300393985100     
  0.800000000000000        1.14658217669063      -0.950970251970033     
  0.900000000000000        1.14658217669063       -1.04364010995497     
   1.00000000000000        1.14658217669063       -1.13630996793990     
   1.10000000000000        1.14658217669063       -1.22897982592483     
   1.20000000000000        1.14658217669063       -1.32164968390976     
   1.30000000000000        1.14658217669063       -1.41431954189470     
   1.40000000000000        1.14658217669063       -1.50698939987963     
   1.50000000000000        1.14658217669063       -1.59965925786456     
   1.60000000000000        1.14658217669063       -1.69232911584949     
   1.70000000000000        1.14658217669063       -1.78499897383443     
   1.80000000000000        1.14658217669063       -1.87766883181936     
   1.90000000000000        1.14658217669063       -1.97033868980429     
   2.00000000000000        1.14658217669063       -2.06300854778922     
   2.10000000000000        1.14658217669063       -2.15567840577416     
   2.20000000000000        1.14658217669063       -2.24834826375909     
   2.30000000000000        1.14658217669063       -2.34101812174402     
   2.40000000000000        1.14658217669063       -2.43368797972895     
   2.50000000000000        1.14658217669063       -2.52635783771389     
   2.60000000000000        1.14658217669063       -2.61902769569882     
   2.70000000000000        1.14658217669063       -2.71169755368375     
   2.80000000000000        1.14658217669063       -2.80436741166868     
   2.90000000000000        1.14658217669063       -2.89703726965362     
   3.00000000000000        1.14658217669063       -2.98970712763855     
   3.10000000000000        1.14658217669063       -3.08237698562348     
   3.20000000000000        1.14658217669063       -3.17504684360841     
   3.30000000000000        1.14658217669063       -3.26771670159335     
   3.40000000000000        1.14658217669063       -3.36038655957828     
   3.50000000000000        1.14658217669063       -3.45305641756321     
   3.60000000000000        1.14658217669063       -3.54572627554814     
   3.70000000000000        1.14658217669063       -3.63839613353308     
   3.80000000000000        1.14658217669063       -3.73106599151801     
   3.90000000000000        1.14658217669063       -3.82373584950294     
   4.00000000000000        1.14658217669063       -3.91640570748787     
   4.10000000000000        1.14658217669063       -4.00907556547281     
   4.20000000000000        1.14658217669063       -4.10174542345774     
   4.30000000000000        1.14658217669063       -4.19441528144267     
   4.40000000000000        1.14658217669063       -4.28708513942760     
   4.50000000000000        1.14658217669063       -4.37975499741254     
   4.60000000000000        1.14658217669063       -4.47242485539747     
   4.70000000000000        1.14658217669063       -4.56509471338240     
   4.80000000000000        1.14658217669063       -4.65776457136733     
   4.90000000000000        1.14658217669063       -4.75043442935227     
   5.00000000000000        1.14658217669063       -4.84310428733720     
   5.10000000000000        1.14658217669063       -4.93577414532213     
   5.20000000000000        1.14658217669063       -5.02844400330706     
   5.30000000000000        1.14658217669063       -5.12111386129200     
   5.40000000000000        1.14658217669063       -5.21378371927693     
   5.50000000000000        1.14658217669063       -5.30645357726186     
   5.60000000000000        1.14658217669063       -5.39912343524680     
   5.70000000000000        1.14658217669063       -5.49179329323173     
   5.80000000000000        1.14658217669063       -5.58446315121666     
   5.90000000000000        1.14658217669063       -5.67713300920159     
   6.00000000000000        1.14658217669063       -5.76980286718652     
   6.10000000000000        1.14658217669063       -5.86247272517146     
   6.20000000000000        1.14658217669063       -5.95514258315639     
   6.30000000000000        1.14658217669063       -6.04781244114132     
   6.40000000000000        1.14658217669063       -6.14048229912625     
   6.50000000000000        1.14658217669063       -6.23315215711119     
   6.60000000000000        1.14658217669063       -6.32582201509612     
   6.70000000000000        1.14658217669063       -6.41849187308105     
   6.80000000000000        1.14658217669063       -6.51116173106599     
   6.90000000000000        1.14658217669063       -6.60383158905092     
   7.00000000000000        1.14658217669063       -6.69650144703585     
   7.10000000000000        1.14658217669063       -6.78917130502078     
   7.20000000000000        1.14658217669063       -6.88184116300572     
   7.30000000000000        1.14658217669063       -6.97451102099065     
   7.40000000000000        1.14658217669063       -7.06718087897558     
   7.50000000000000        1.14658217669063       -7.15985073696051     
   7.60000000000000        1.14658217669063       -7.25252059494545     
   7.70000000000000        1.14658217669063       -7.34519045293038     
   7.80000000000000        1.14658217669063       -7.43786031091531     
   7.90000000000000        1.14658217669063       -7.53053016890024     
   8.00000000000000        1.14658217669063       -7.62320002688518     
   8.10000000000000        1.14658217669063       -7.71586988487011     
   8.20000000000000        1.14658217669063       -7.80853974285504     
   8.30000000000000        1.14658217669063       -7.90120960083997     
   8.40000000000000        1.14658217669063       -7.99387945882491     
   8.50000000000000        1.14658217669063       -8.08654931680984     
   8.60000000000000        1.14658217669063       -8.17921917479477     
   8.70000000000000        1.14658217669063       -8.27188903277970     
   8.80000000000000        1.14658217669063       -8.36455889076463     
   8.90000000000000        1.14658217669063       -8.45722874874957     
   9.00000000000000        1.14658217669063       -8.54989860673450     
   9.10000000000000        1.14658217669063       -8.64256846471943     
   9.20000000000000        1.14658217669063       -8.73523832270437     
   9.30000000000000        1.14658217669063       -8.82790818068930     
   9.40000000000000        1.14658217669063       -8.92057803867423     
   9.50000000000000        1.14658217669063       -9.01324789665916     
   9.60000000000000        1.14658217669063       -9.10591775464410     
   9.70000000000000        1.14658217669063       -9.19858761262903     
   9.80000000000000        1.14658217669063       -9.29125747061396     
   9.90000000000000        1.14658217669063       -9.38392732859889     
   10.0000000000000        1.14658217669063       -9.47659718658383     
   10.1000000000000        1.14658217669063       -9.56926704456876     
   10.2000000000000        1.14658217669063       -9.66193690255369     
