  0.000000000000000E+000  7.063786234462407E-017 -0.153294353217632     
  0.100000000000000        1.15360383734812      -0.246653086046677     
  0.200000000000000        1.15360383734812      -0.340011818875721     
  0.300000000000000        1.15360383734812      -0.433370551704766     
  0.400000000000000        1.15360383734812      -0.526729284533810     
  0.500000000000000        1.15360383734812      -0.620088017362854     
  0.600000000000000        1.15360383734812      -0.713446750191899     
  0.700000000000000        1.15360383734812      -0.806805483020943     
  0.800000000000000        1.15360383734812      -0.900164215849987     
  0.900000000000000        1.15360383734812      -0.993522948679032     
   1.00000000000000        1.15360383734812       -1.08688168150808     
   1.10000000000000        1.15360383734812       -1.18024041433712     
   1.20000000000000        1.15360383734812       -1.27359914716616     
   1.30000000000000        1.15360383734812       -1.36695787999521     
   1.40000000000000        1.15360383734812       -1.46031661282425     
   1.50000000000000        1.15360383734812       -1.55367534565330     
   1.60000000000000        1.15360383734812       -1.64703407848234     
   1.70000000000000        1.15360383734812       -1.74039281131139     
   1.80000000000000        1.15360383734812       -1.83375154414043     
   1.90000000000000        1.15360383734812       -1.92711027696948     
   2.00000000000000        1.15360383734812       -2.02046900979852     
   2.10000000000000        1.15360383734812       -2.11382774262756     
   2.20000000000000        1.15360383734812       -2.20718647545661     
   2.30000000000000        1.15360383734812       -2.30054520828565     
   2.40000000000000        1.15360383734812       -2.39390394111470     
   2.50000000000000        1.15360383734812       -2.48726267394374     
   2.60000000000000        1.15360383734812       -2.58062140677279     
   2.70000000000000        1.15360383734812       -2.67398013960183     
   2.80000000000000        1.15360383734812       -2.76733887243088     
   2.90000000000000        1.15360383734812       -2.86069760525992     
   3.00000000000000        1.15360383734812       -2.95405633808896     
   3.10000000000000        1.15360383734812       -3.04741507091801     
   3.20000000000000        1.15360383734812       -3.14077380374705     
   3.30000000000000        1.15360383734812       -3.23413253657610     
   3.40000000000000        1.15360383734812       -3.32749126940514     
   3.50000000000000        1.15360383734812       -3.42085000223419     
   3.60000000000000        1.15360383734812       -3.51420873506323     
   3.70000000000000        1.15360383734812       -3.60756746789227     
   3.80000000000000        1.15360383734812       -3.70092620072132     
   3.90000000000000        1.15360383734812       -3.79428493355036     
   4.00000000000000        1.15360383734812       -3.88764366637941     
   4.10000000000000        1.15360383734812       -3.98100239920845     
   4.20000000000000        1.15360383734812       -4.07436113203750     
   4.30000000000000        1.15360383734812       -4.16771986486654     
   4.40000000000000        1.15360383734812       -4.26107859769559     
   4.50000000000000        1.15360383734812       -4.35443733052463     
   4.60000000000000        1.15360383734812       -4.44779606335367     
   4.70000000000000        1.15360383734812       -4.54115479618272     
   4.80000000000000        1.15360383734812       -4.63451352901176     
   4.90000000000000        1.15360383734812       -4.72787226184081     
   5.00000000000000        1.15360383734812       -4.82123099466985     
   5.10000000000000        1.15360383734812       -4.91458972749890     
   5.20000000000000        1.15360383734812       -5.00794846032794     
   5.30000000000000        1.15360383734812       -5.10130719315698     
   5.40000000000000        1.15360383734812       -5.19466592598603     
   5.50000000000000        1.15360383734812       -5.28802465881507     
   5.60000000000000        1.15360383734812       -5.38138339164412     
   5.70000000000000        1.15360383734812       -5.47474212447316     
   5.80000000000000        1.15360383734812       -5.56810085730221     
   5.90000000000000        1.15360383734812       -5.66145959013125     
   6.00000000000000        1.15360383734812       -5.75481832296030     
   6.10000000000000        1.15360383734812       -5.84817705578934     
   6.20000000000000        1.15360383734812       -5.94153578861838     
   6.30000000000000        1.15360383734812       -6.03489452144743     
   6.40000000000000        1.15360383734812       -6.12825325427647     
   6.50000000000000        1.15360383734812       -6.22161198710552     
   6.60000000000000        1.15360383734812       -6.31497071993456     
   6.70000000000000        1.15360383734812       -6.40832945276361     
   6.80000000000000        1.15360383734812       -6.50168818559265     
   6.90000000000000        1.15360383734812       -6.59504691842169     
   7.00000000000000        1.15360383734812       -6.68840565125074     
   7.10000000000000        1.15360383734812       -6.78176438407978     
   7.20000000000000        1.15360383734812       -6.87512311690883     
   7.30000000000000        1.15360383734812       -6.96848184973787     
   7.40000000000000        1.15360383734812       -7.06184058256692     
   7.50000000000000        1.15360383734812       -7.15519931539596     
   7.60000000000000        1.15360383734812       -7.24855804822501     
   7.70000000000000        1.15360383734812       -7.34191678105405     
   7.80000000000000        1.15360383734812       -7.43527551388309     
   7.90000000000000        1.15360383734812       -7.52863424671214     
   8.00000000000000        1.15360383734812       -7.62199297954118     
   8.10000000000000        1.15360383734812       -7.71535171237023     
   8.20000000000000        1.15360383734812       -7.80871044519927     
   8.30000000000000        1.15360383734812       -7.90206917802832     
   8.40000000000000        1.15360383734812       -7.99542791085736     
   8.50000000000000        1.15360383734812       -8.08878664368640     
   8.60000000000000        1.15360383734812       -8.18214537651545     
   8.70000000000000        1.15360383734812       -8.27550410934449     
   8.80000000000000        1.15360383734812       -8.36886284217354     
   8.90000000000000        1.15360383734812       -8.46222157500258     
   9.00000000000000        1.15360383734812       -8.55558030783163     
   9.10000000000000        1.15360383734812       -8.64893904066067     
   9.20000000000000        1.15360383734812       -8.74229777348972     
   9.30000000000000        1.15360383734812       -8.83565650631876     
   9.40000000000000        1.15360383734812       -8.92901523914780     
   9.50000000000000        1.15360383734812       -9.02237397197685     
   9.60000000000000        1.15360383734812       -9.11573270480589     
   9.70000000000000        1.15360383734812       -9.20909143763494     
   9.80000000000000        1.15360383734812       -9.30245017046398     
   9.90000000000000        1.15360383734812       -9.39580890329303     
   10.0000000000000        1.15360383734812       -9.48916763612207     
   10.1000000000000        1.15360383734812       -9.58252636895111     
   10.2000000000000        1.15360383734812       -9.67588510178016     
