  0.000000000000000E+000  7.130651599878999E-017 -7.172767305941553E-002
  0.100000000000000        1.16452378021869      -0.164397531044348     
  0.200000000000000        1.16452378021869      -0.257067389029280     
  0.300000000000000        1.16452378021869      -0.349737247014213     
  0.400000000000000        1.16452378021869      -0.442407104999145     
  0.500000000000000        1.16452378021869      -0.535076962984078     
  0.600000000000000        1.16452378021869      -0.627746820969011     
  0.700000000000000        1.16452378021869      -0.720416678953943     
  0.800000000000000        1.16452378021869      -0.813086536938876     
  0.900000000000000        1.16452378021869      -0.905756394923808     
   1.00000000000000        1.16452378021869      -0.998426252908741     
   1.10000000000000        1.16452378021869       -1.09109611089367     
   1.20000000000000        1.16452378021869       -1.18376596887861     
   1.30000000000000        1.16452378021869       -1.27643582686354     
   1.40000000000000        1.16452378021869       -1.36910568484847     
   1.50000000000000        1.16452378021869       -1.46177554283340     
   1.60000000000000        1.16452378021869       -1.55444540081834     
   1.70000000000000        1.16452378021869       -1.64711525880327     
   1.80000000000000        1.16452378021869       -1.73978511678820     
   1.90000000000000        1.16452378021869       -1.83245497477313     
   2.00000000000000        1.16452378021869       -1.92512483275807     
   2.10000000000000        1.16452378021869       -2.01779469074300     
   2.20000000000000        1.16452378021869       -2.11046454872793     
   2.30000000000000        1.16452378021869       -2.20313440671286     
   2.40000000000000        1.16452378021869       -2.29580426469780     
   2.50000000000000        1.16452378021869       -2.38847412268273     
   2.60000000000000        1.16452378021869       -2.48114398066766     
   2.70000000000000        1.16452378021869       -2.57381383865259     
   2.80000000000000        1.16452378021869       -2.66648369663753     
   2.90000000000000        1.16452378021869       -2.75915355462246     
   3.00000000000000        1.16452378021869       -2.85182341260739     
   3.10000000000000        1.16452378021869       -2.94449327059232     
   3.20000000000000        1.16452378021869       -3.03716312857726     
   3.30000000000000        1.16452378021869       -3.12983298656219     
   3.40000000000000        1.16452378021869       -3.22250284454712     
   3.50000000000000        1.16452378021869       -3.31517270253205     
   3.60000000000000        1.16452378021869       -3.40784256051699     
   3.70000000000000        1.16452378021869       -3.50051241850192     
   3.80000000000000        1.16452378021869       -3.59318227648685     
   3.90000000000000        1.16452378021869       -3.68585213447178     
   4.00000000000000        1.16452378021869       -3.77852199245672     
   4.10000000000000        1.16452378021869       -3.87119185044165     
   4.20000000000000        1.16452378021869       -3.96386170842658     
   4.30000000000000        1.16452378021869       -4.05653156641151     
   4.40000000000000        1.16452378021869       -4.14920142439645     
   4.50000000000000        1.16452378021869       -4.24187128238138     
   4.60000000000000        1.16452378021869       -4.33454114036631     
   4.70000000000000        1.16452378021869       -4.42721099835124     
   4.80000000000000        1.16452378021869       -4.51988085633618     
   4.90000000000000        1.16452378021869       -4.61255071432111     
   5.00000000000000        1.16452378021869       -4.70522057230604     
   5.10000000000000        1.16452378021869       -4.79789043029098     
   5.20000000000000        1.16452378021869       -4.89056028827591     
   5.30000000000000        1.16452378021869       -4.98323014626084     
   5.40000000000000        1.16452378021869       -5.07590000424577     
   5.50000000000000        1.16452378021869       -5.16856986223070     
   5.60000000000000        1.16452378021869       -5.26123972021564     
   5.70000000000000        1.16452378021869       -5.35390957820057     
   5.80000000000000        1.16452378021869       -5.44657943618550     
   5.90000000000000        1.16452378021869       -5.53924929417044     
   6.00000000000000        1.16452378021869       -5.63191915215537     
   6.10000000000000        1.16452378021869       -5.72458901014030     
   6.20000000000000        1.16452378021869       -5.81725886812523     
   6.30000000000000        1.16452378021869       -5.90992872611016     
   6.40000000000000        1.16452378021869       -6.00259858409510     
   6.50000000000000        1.16452378021869       -6.09526844208003     
   6.60000000000000        1.16452378021869       -6.18793830006496     
   6.70000000000000        1.16452378021869       -6.28060815804990     
   6.80000000000000        1.16452378021869       -6.37327801603483     
   6.90000000000000        1.16452378021869       -6.46594787401976     
   7.00000000000000        1.16452378021869       -6.55861773200469     
   7.10000000000000        1.16452378021869       -6.65128758998963     
   7.20000000000000        1.16452378021869       -6.74395744797456     
   7.30000000000000        1.16452378021869       -6.83662730595949     
   7.40000000000000        1.16452378021869       -6.92929716394442     
   7.50000000000000        1.16452378021869       -7.02196702192936     
   7.60000000000000        1.16452378021869       -7.11463687991429     
   7.70000000000000        1.16452378021869       -7.20730673789922     
   7.80000000000000        1.16452378021869       -7.29997659588415     
   7.90000000000000        1.16452378021869       -7.39264645386909     
   8.00000000000000        1.16452378021869       -7.48531631185402     
   8.10000000000000        1.16452378021869       -7.57798616983895     
   8.20000000000000        1.16452378021869       -7.67065602782388     
   8.30000000000000        1.16452378021869       -7.76332588580882     
   8.40000000000000        1.16452378021869       -7.85599574379375     
   8.50000000000000        1.16452378021869       -7.94866560177868     
   8.60000000000000        1.16452378021869       -8.04133545976361     
   8.70000000000000        1.16452378021869       -8.13400531774854     
   8.80000000000000        1.16452378021869       -8.22667517573348     
   8.90000000000000        1.16452378021869       -8.31934503371841     
   9.00000000000000        1.16452378021869       -8.41201489170335     
   9.10000000000000        1.16452378021869       -8.50468474968828     
   9.20000000000000        1.16452378021869       -8.59735460767321     
   9.30000000000000        1.16452378021869       -8.69002446565814     
   9.40000000000000        1.16452378021869       -8.78269432364307     
   9.50000000000000        1.16452378021869       -8.87536418162801     
   9.60000000000000        1.16452378021869       -8.96803403961294     
   9.70000000000000        1.16452378021869       -9.06070389759787     
   9.80000000000000        1.16452378021869       -9.15337375558280     
   9.90000000000000        1.16452378021869       -9.24604361356774     
   10.0000000000000        1.16452378021869       -9.33871347155267     
   10.1000000000000        1.16452378021869       -9.43138332953760     
   10.2000000000000        1.16452378021869       -9.52405318752253     
